City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,0,Hilo,19.7297,-155.09,77.29,99,100,1.99,US,2022-05-02 02:56:33
1,1,Zhizdra,53.746,34.7395,39.45,82,95,4.88,RU,2022-05-02 02:56:33
2,2,Neuquen,-38.9516,-68.0591,51.69,66,0,0.0,AR,2022-05-02 02:56:23
3,3,Abomsa,9.9833,39.9833,70.93,44,81,6.44,ET,2022-05-02 02:56:34
4,4,Cape Town,-33.9258,18.4232,59.11,78,0,4.0,ZA,2022-05-02 02:56:34
5,5,Namibe,-15.1961,12.1522,71.82,73,36,7.14,AO,2022-05-02 02:56:34
6,6,Northam,51.0333,-4.2167,49.6,96,100,1.66,GB,2022-05-02 02:55:49
7,7,Tuatapere,-46.1333,167.6833,62.6,63,22,6.31,NZ,2022-05-02 02:55:30
8,8,Luderitz,-26.6481,15.1594,71.74,28,0,10.76,,2022-05-02 02:56:35
9,9,La Ronge,55.1001,-105.2842,34.05,64,20,6.91,CA,2022-05-02 02:56:35
10,10,Bredasdorp,-34.5322,20.0403,54.79,94,96,4.9,ZA,2022-05-02 02:54:41
11,11,Balabac,7.9868,117.0645,85.95,70,78,8.21,PH,2022-05-02 02:56:36
12,12,Okhotsk,59.3833,143.3,36.14,78,41,10.0,RU,2022-05-02 02:56:36
13,13,Upernavik,72.7868,-56.1549,-3.12,86,8,5.61,GL,2022-05-02 02:56:37
14,14,Clyde River,70.4692,-68.5914,7.03,92,100,16.11,CA,2022-05-02 02:56:37
15,15,Gazojak,41.1875,61.4036,66.9,54,100,15.43,TM,2022-05-02 02:56:37
16,16,Ushuaia,-54.8,-68.3,38.86,87,20,4.61,AR,2022-05-02 02:56:38
17,17,Lagunas,-5.2269,-75.6753,76.57,85,94,2.46,PE,2022-05-02 02:56:38
18,18,Ostrovnoy,68.0531,39.5131,17.92,91,69,7.67,RU,2022-05-02 02:56:39
19,19,Constitucion,-35.3333,-72.4167,52.16,73,2,6.62,CL,2022-05-02 02:56:39
20,20,Antofagasta,-23.65,-70.4,60.08,84,57,3.44,CL,2022-05-02 02:56:39
21,21,Tezu,27.9167,96.1667,77.04,71,97,2.1,IN,2022-05-02 02:56:40
22,22,Leningradskiy,69.3833,178.4167,19.24,80,45,8.01,RU,2022-05-02 02:55:37
23,23,Mahebourg,-20.4081,57.7,74.25,94,20,3.44,MU,2022-05-02 02:56:40
24,24,Qaanaaq,77.484,-69.3632,5.13,64,24,7.4,GL,2022-05-02 02:56:41
25,25,Luang Prabang,19.8856,102.1347,78.76,69,75,6.91,LA,2022-05-02 02:56:41
26,26,Lisakovsk,52.5369,62.4936,42.44,61,9,16.58,KZ,2022-05-02 02:56:42
27,27,Hobart,-42.8794,147.3294,69.66,50,75,19.57,AU,2022-05-02 02:56:42
28,28,Vao,-22.6667,167.4833,75.2,87,25,19.28,NC,2022-05-02 02:56:42
29,29,Mount Gambier,-37.8333,140.7667,64.31,77,75,14.97,AU,2022-05-02 02:56:43
30,30,Tiksi,71.6872,128.8694,17.08,80,34,10.27,RU,2022-05-02 02:56:43
31,31,Tuktoyaktuk,69.4541,-133.0374,39.2,70,75,10.36,CA,2022-05-02 02:54:50
32,32,Guerrero Negro,27.9769,-114.0611,60.03,86,26,14.9,MX,2022-05-02 02:56:44
33,33,Hamilton,39.1834,-84.5333,60.01,68,35,3.0,US,2022-05-02 02:55:31
34,34,Albany,42.6001,-73.9662,55.36,52,100,3.56,US,2022-05-02 02:53:14
35,35,Vikulovo,56.8167,70.6107,41.34,72,24,7.11,RU,2022-05-02 02:56:44
36,36,Rikitea,-23.1203,-134.9692,76.46,71,100,5.32,PF,2022-05-02 02:54:36
37,37,Nguruka,-5.1092,31.0419,64.04,97,100,1.19,TZ,2022-05-02 02:56:45
38,38,Aden,12.7794,45.0367,83.26,71,7,5.28,YE,2022-05-02 02:56:27
39,39,Castro,-24.7911,-50.0119,60.3,91,68,1.77,BR,2022-05-02 02:56:46
40,40,Georgetown,5.4112,100.3354,84.15,79,20,5.01,MY,2022-05-02 02:56:46
41,41,Yerbogachen,61.2767,108.0108,32.95,50,6,2.15,RU,2022-05-02 02:56:46
42,42,Toamasina,-18.1667,49.3833,71.6,94,40,0.0,MG,2022-05-02 02:56:47
43,43,Ziro,27.6333,93.8333,56.14,69,78,1.77,IN,2022-05-02 02:56:47
44,44,Saint-Francois,46.4154,3.9054,39.67,93,0,0.0,FR,2022-05-02 02:56:48
45,45,Los Llanos De Aridane,28.6585,-17.9182,66.13,41,0,12.66,ES,2022-05-02 02:55:19
46,46,Necochea,-38.5473,-58.7368,51.01,62,100,7.81,AR,2022-05-02 02:57:48
47,47,Khatanga,71.9667,102.5,23.22,83,99,14.85,RU,2022-05-02 02:57:49
48,48,Miri,4.4148,114.0089,89.74,74,40,2.3,MY,2022-05-02 02:57:49
49,49,Cherskiy,68.75,161.3,30.72,89,55,8.75,RU,2022-05-02 02:57:49
50,50,Vila Franca Do Campo,37.7167,-25.4333,65.19,91,40,3.31,PT,2022-05-02 02:57:14
51,51,Jamestown,42.097,-79.2353,54.01,97,100,8.05,US,2022-05-02 02:57:50
52,52,Padang,-0.9492,100.3543,75.25,75,93,1.63,ID,2022-05-02 02:57:50
53,53,Parakai,-36.65,174.4333,72.25,59,99,7.16,NZ,2022-05-02 02:57:51
54,54,Puerto Ayora,-0.7393,-90.3518,72.16,91,7,5.82,EC,2022-05-02 02:55:03
55,55,Busselton,-33.65,115.3333,67.87,74,83,8.61,AU,2022-05-02 02:57:51
56,56,Raymond,43.9015,-70.4703,45.09,86,34,2.93,US,2022-05-02 02:57:52
57,57,East London,-33.0153,27.9116,59.99,75,0,5.66,ZA,2022-05-02 02:54:56
58,58,Tasiilaq,65.6145,-37.6368,18.86,62,83,4.38,GL,2022-05-02 02:56:14
59,59,Yulara,-25.2406,130.9889,69.64,43,40,8.05,AU,2022-05-02 02:56:33
60,60,Saint Anthony,45.0205,-93.218,43.66,87,100,16.11,US,2022-05-02 02:57:52
61,61,Koutiala,12.3917,-5.4642,87.22,40,87,1.99,ML,2022-05-02 02:57:53
62,62,Dikson,73.5069,80.5464,16.54,91,100,12.46,RU,2022-05-02 02:57:53
63,63,Avarua,-21.2078,-159.775,82.45,74,40,5.75,CK,2022-05-02 02:54:49
64,64,San Patricio,28.017,-97.5169,78.89,85,88,15.97,US,2022-05-02 02:54:20
65,65,Sheridan,44.8333,-106.9173,48.45,63,100,1.01,US,2022-05-02 02:57:54
66,66,Airai,-8.9266,125.4092,76.14,44,91,5.73,TL,2022-05-02 02:56:02
67,67,West Bay,19.3667,-81.4167,80.67,82,0,5.75,KY,2022-05-02 02:57:54
68,68,Ahipara,-35.1667,173.1667,68.04,61,100,5.46,NZ,2022-05-02 02:57:55
69,69,Barrow,71.2906,-156.7887,21.76,93,100,13.27,US,2022-05-02 02:57:55
70,70,Iqaluit,63.7506,-68.5145,24.53,79,40,3.44,CA,2022-05-02 02:55:22
