City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,60.71,63,51,3.0,AU,2022-04-30 04:20:17
1,Cabo San Lucas,22.8909,-109.9124,78.1,44,21,14.76,MX,2022-04-30 04:17:33
2,Pisco,-13.7,-76.2167,65.01,82,46,1.14,PE,2022-04-30 04:24:06
3,San Mateo,37.4499,-122.3511,53.94,63,0,18.41,US,2022-04-30 04:25:41
4,Wanning,18.8003,110.3967,78.55,85,100,9.1,CN,2022-04-30 04:25:28
5,Port Elizabeth,-33.918,25.5701,61.11,71,0,14.97,ZA,2022-04-30 04:17:52
6,San Patricio,28.017,-97.5169,78.66,86,6,14.92,US,2022-04-30 04:28:08
7,Bengkulu,-3.8004,102.2655,84.4,69,16,6.06,ID,2022-04-30 04:22:48
8,Castro,-24.7911,-50.0119,57.06,97,99,8.01,BR,2022-04-30 04:22:55
9,Iqaluit,63.7506,-68.5145,13.73,73,40,6.91,CA,2022-04-30 04:21:38
10,Bluff,-46.6,168.3333,65.8,73,99,8.08,NZ,2022-04-30 04:19:17
11,Iskateley,67.6803,53.1512,18.25,86,36,17.96,RU,2022-04-30 04:28:09
12,Atuona,-9.8,-139.0333,79.12,73,100,15.93,PF,2022-04-30 04:20:25
13,Lieksa,63.3167,30.0167,26.31,75,9,6.08,FI,2022-04-30 04:28:09
14,Los Llanos De Aridane,28.6585,-17.9182,60.55,89,0,13.8,ES,2022-04-30 04:28:10
15,Dikson,73.5069,80.5464,18.25,93,100,20.04,RU,2022-04-30 04:19:18
16,Ponta Do Sol,32.6667,-17.1,63.01,50,29,2.51,PT,2022-04-30 04:21:43
17,Male,4.1748,73.5089,87.75,70,75,11.5,MV,2022-04-30 04:28:11
18,Butaritari,3.0707,172.7902,81.54,77,48,9.15,KI,2022-04-30 04:20:24
19,Acapulco,16.8634,-99.8901,80.42,83,20,6.91,MX,2022-04-30 04:24:07
20,Grajewo,53.6473,22.4554,40.28,80,99,3.98,PL,2022-04-30 04:28:11
21,Libohove,40.0311,20.2631,56.77,80,85,5.59,AL,2022-04-30 04:28:12
22,Hilo,19.7297,-155.09,75.27,88,100,8.05,US,2022-04-30 04:21:38
23,Albany,42.6001,-73.9662,43.63,40,1,6.91,US,2022-04-30 04:17:31
24,Punta Arenas,-53.15,-70.9167,30.31,93,0,6.91,CL,2022-04-30 04:18:09
25,Nauta,-4.5061,-73.5757,71.92,99,100,1.52,PE,2022-04-30 04:28:13
26,Kapaa,22.0752,-159.319,80.58,83,75,17.27,US,2022-04-30 04:19:11
27,Carnarvon,-24.8667,113.6333,86.07,30,0,14.97,AU,2022-04-30 04:20:21
28,Cairo,30.0626,31.2497,81.36,17,39,16.11,EG,2022-04-30 04:26:31
29,Tiksi,71.6872,128.8694,34.21,71,100,16.53,RU,2022-04-30 04:26:52
30,Hermanus,-34.4187,19.2345,52.81,81,56,7.09,ZA,2022-04-30 04:19:19
31,Poso,-1.3959,120.7524,85.91,67,55,3.49,ID,2022-04-30 04:28:14
32,Saskylakh,71.9167,114.0833,32.59,94,100,14.7,RU,2022-04-30 04:25:31
33,Kaitangata,-46.2817,169.8464,58.69,71,95,3.44,NZ,2022-04-30 04:20:12
34,Kruisfontein,-34.0033,24.7314,58.89,82,42,13.6,ZA,2022-04-30 04:24:19
35,Lasa,46.6166,10.7002,49.08,96,100,2.01,IT,2022-04-30 04:26:50
